Comment,Designator,Footprint,JLCPCB Part #(optional)
0.1µF,C11,C_01005_0402Metric,
0.1µF,C9,C_01005_0402Metric,
0.1µF,C8,C_01005_0402Metric,
0.1µF,C15,C_01005_0402Metric,
0.1µF,C16,C_01005_0402Metric,
0.1µF,C10,C_01005_0402Metric,
0.1µF,C12,C_01005_0402Metric,
0.1µF,C14,C_01005_0402Metric,
0.1µF,C7,C_01005_0402Metric,
0.1µF,C13,C_01005_0402Metric,
0.1µF,C6,C_01005_0402Metric,
LDO40LPU33RY,U3,DFN-6-1EP_3x3mm_P0.95mm_EP1.7x2.6mm,
3.7V Ultra-Thin LiPo Battery,BT1,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,
10kΩ,R1,R_0402_1005Metric,
1µF,C5,C_0603_1608Metric,
1µF,C3,C_0603_1608Metric,
32MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,
4.7kΩ,R2,R_0402_1005Metric,
4.7kΩ,R3,R_0402_1005Metric,
18pF,C2,C_01005_0402Metric,
18pF,C1,C_01005_0402Metric,
10µF,C4,C_0603_1608Metric,
LSM6DS3,U2,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,
nRF52820-QDxx,U1,QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm,
