Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","3.7V Ultra-Thin LiPo Battery","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",131.000000,-62.141310,0.000000,top
"C1","18pF","C_01005_0402Metric",130.300000,-68.841310,0.000000,top
"C2","18pF","C_01005_0402Metric",130.525000,-73.841310,180.000000,top
"C3","1µF","C_0603_1608Metric",137.575000,-62.091310,180.000000,top
"C4","10µF","C_0603_1608Metric",137.600000,-66.241310,180.000000,top
"C5","1µF","C_0603_1608Metric",141.200000,-59.241310,-90.000000,top
"C6","0.1µF","C_01005_0402Metric",143.300000,-67.591310,-90.000000,top
"C7","0.1µF","C_01005_0402Metric",141.800000,-66.841310,90.000000,top
"C8","0.1µF","C_01005_0402Metric",144.800000,-65.341310,-90.000000,top
"C9","0.1µF","C_01005_0402Metric",143.300000,-65.091310,90.000000,top
"C10","0.1µF","C_01005_0402Metric",141.300000,-64.341310,-90.000000,top
"C11","0.1µF","C_01005_0402Metric",144.800000,-62.616310,90.000000,top
"C12","0.1µF","C_01005_0402Metric",143.250000,-62.166310,90.000000,top
"C13","0.1µF","C_01005_0402Metric",141.800000,-62.116310,90.000000,top
"C14","0.1µF","C_01005_0402Metric",142.800000,-58.616310,90.000000,top
"C15","0.1µF","C_01005_0402Metric",144.300000,-59.116310,90.000000,top
"C16","0.1µF","C_01005_0402Metric",144.800000,-67.841310,90.000000,top
"R1","10kΩ","R_0402_1005Metric",139.700000,-67.091310,90.000000,top
"R2","4.7kΩ","R_0402_1005Metric",142.012500,-70.691310,-90.000000,top
"R3","4.7kΩ","R_0402_1005Metric",142.012500,-72.641310,90.000000,top
"U1","nRF52820-QDxx","QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm",138.237500,-71.241310,180.000000,top
"U2","LSM6DS3","LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y",144.200000,-71.391310,90.000000,top
"U3","LDO40LPU33RY","DFN-6-1EP_3x3mm_P0.95mm_EP1.7x2.6mm",138.300000,-58.716310,-90.000000,top
"Y1","32MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",130.450000,-71.441310,90.000000,top
